Marca temporal,Nombre del Restaurante,"¿Su negocio es independiente (operado por usted, un solo local) o forma parte de una cadena o franquicia?",¿Cuál describe mejor el tipo de restaurante que opera?,¿Cuánto tiempo lleva operando su restaurante?,¿Cuántos empleados tiene aproximadamente su restaurante?,¿Cuáles son los principales problemas o desafíos operativos que enfrenta en el día a día? (Seleccione hasta 3 opciones),"En una escala del 1 al 5, califique qué tan problemáticas son las siguientes áreas en la operación de su restaurante (1 = no es un problema, 3 = problema muy serio) [Control de gastos]","En una escala del 1 al 5, califique qué tan problemáticas son las siguientes áreas en la operación de su restaurante (1 = no es un problema, 3 = problema muy serio) [Gestión de personal]","En una escala del 1 al 5, califique qué tan problemáticas son las siguientes áreas en la operación de su restaurante (1 = no es un problema, 3 = problema muy serio) [Manejo de inventario]","En una escala del 1 al 5, califique qué tan problemáticas son las siguientes áreas en la operación de su restaurante (1 = no es un problema, 3 = problema muy serio) [Eficiencia Operativa]","En una escala del 1 al 5, califique qué tan problemáticas son las siguientes áreas en la operación de su restaurante (1 = no es un problema, 3 = problema muy serio) [Satisfacción del cliente]","En una escala del 1 al 5, califique qué tan problemáticas son las siguientes áreas en la operación de su restaurante (1 = no es un problema, 3 = problema muy serio) [Uso de tecnología]","Mayor desafío: En sus propias palabras, describa el mayor desafío operativo que enfrenta actualmente en su restaurante. ¿Por qué es un desafío importante y cómo le afecta en el día a día? ","¿Qué acciones o soluciones ha intentado hasta ahora para abordar los desafíos antes mencionados? Por ejemplo, puede mencionar si ha ajustado el menú para controlar costos, implementado nuevas prácticas de capacitación, cambiado proveedores, etc.",¿Utiliza actualmente software o herramientas tecnológicas para ayudar en la gestión operativa?,¿Qué herramientas utiliza actualmente? (Solo si respondiste “Sí”),¿Qué tan satisfecho está con las herramientas en términos de resolver sus problemas operativos?,¿Qué tan dispuesto estaría a probar una nueva solución tecnológica basada en inteligencia artificial u otras innovaciones para mejorar la operación de su restaurante?,"Si existiera una solución con tecnología (por ejemplo IA) que resolviera eficientemente su mayor problema operativo (por ejemplo, reducir costos o ahorrar tiempo de gestión), ¿estaría dispuesto a pagar por un software así? En caso afirmativo, ¿cuánto le parecería razonable invertir por mes?"
26/3/2025 17:53:46,Jefferz,Independiente (un solo restaurante),Comida rápida/servicio rápido,4-10 años,6-15 empleados,"Controlar los costos de los alimentos y materias primas (manejar la inflación de precios, costos de ingredientes), Gestionar los costos de personal y la rotación de empleados (salarios, retención, capacitación de personal), Mantener un control de inventario adecuado y reducir el desperdicio de insumos, Coordinar la comunicación entre cocina y personal de servicio para operar eficientemente",3,3,3,2,1,1,conseguir personal y capacitarlo,contratar empresas  de colocacion no hemos tenido exito con los elementos q nos mandan,"Sí, utilizo sistemas tecnológicos","parrot, whatsapp",Muy satisfecho,Podría estar interesado si realmente soluciona mis problemas,"Sí, hasta alrededor de $50 USD (aprox. $1,000 MXN) al mes"
27/3/2025 9:45:40,Casamor,Independiente (un solo restaurante),Restaurante casual o familiar,1-3 años,6-15 empleados,"Gestionar los costos de personal y la rotación de empleados (salarios, retención, capacitación de personal), Mantener la consistencia en la calidad de la comida y del servicio",1,3,1,2,1,2,"Gestionar las compras de materia prima, checklists de verificación de actividades , seguimiento a procesos y recetas",Hacer pedidos en línea y pasar a recoger,"Sí, utilizo sistemas tecnológicos","Safety culture, Wansoft ",Muy satisfecho,"Muy dispuesto, me interesa adoptar nuevas herramientas","Sí, hasta alrededor de $50 USD (aprox. $1,000 MXN) al mes"
27/3/2025 15:36:01,Brera Coffee Shop ,Independiente (un solo restaurante),Cafetería/Bar,1-3 años,1-5 empleados,"Controlar los costos de los alimentos y materias primas (manejar la inflación de precios, costos de ingredientes), Mantener un control de inventario adecuado y reducir el desperdicio de insumos, Predecir la demanda de clientes para planificar compras y producción con anticipación, Atraer suficientes clientes y aumentar las ventas en un mercado competitivo, Integrar o usar tecnología (POS, pedidos en línea, reservas) de forma eficaz en las operaciones diarias",1,1,3,2,1,2,Clientes ,Mkt,"Sí, utilizo sistemas tecnológicos",Bolt.new y pos,Muy satisfecho,"Muy dispuesto, me interesa adoptar nuevas herramientas",No estaría dispuesto a pagar por software adicional
27/3/2025 17:17:04,La Carta,Independiente (un solo restaurante),Restaurante casual o familiar,1-3 años,6-15 empleados,"Controlar los costos de los alimentos y materias primas (manejar la inflación de precios, costos de ingredientes), Mantener un control de inventario adecuado y reducir el desperdicio de insumos, Mantener la consistencia en la calidad de la comida y del servicio",2,2,3,1,1,1,"El manejo de inventario es una tarea que requiere la contratación de un elemento extra, sin embargo para restaurantes independientes de emprendedores a veces resulta complicado y terminamos realizándolo los encargados cuando tenemos tiempo. ","Hemos intentado utilizar el punto de venta, pero igual no es muy práctico ","Sí, utilizo sistemas tecnológicos",Bdk sistemas ,Medianamente satisfecho,"Muy dispuesto, me interesa adoptar nuevas herramientas","Sí, entre $50-$100 USD (hasta ~$2,000 MXN) al mes"
27/3/2025 19:29:26,Amalay,Independiente (un solo restaurante),Restaurante casual o familiar,1-3 años,16-50 empleados,"Controlar los costos de los alimentos y materias primas (manejar la inflación de precios, costos de ingredientes), Mantener un control de inventario adecuado y reducir el desperdicio de insumos",2,2,2,1,1,1,Generación de utilidades correctas,Apoyo de Sistema y Contador. ,"Sí, utilizo sistemas tecnológicos",Wansoft,Muy satisfecho,Necesitaría más información antes de decidir,"Sí, hasta alrededor de $50 USD (aprox. $1,000 MXN) al mes"
27/3/2025 22:19:35,Café Extinto,Independiente (un solo restaurante),Cafetería/Bar,Menos de 1 año,1-5 empleados,"Gestionar los costos de personal y la rotación de empleados (salarios, retención, capacitación de personal), Atraer suficientes clientes y aumentar las ventas en un mercado competitivo",2,2,2,2,2,2,Publicidad del espacio para tener más clientes ,"Ajustar el menú para tener bebidas más atractivas, hacer volanteo","No, no utilizo ninguna herramienta tecnológica específica",,Nada satisfecho,"Muy dispuesto, me interesa adoptar nuevas herramientas",No estaría dispuesto a pagar por software adicional
28/3/2025 10:58:16,La Piazza,Cadena o franquicia (múltiples locales),Comida rápida/servicio rápido,4-10 años,16-50 empleados,Mantener un control de inventario adecuado y reducir el desperdicio de insumos,3,2,2,3,3,3,"Controlar el uso correcto de los insumos evitar sobre porciones, mantener en buen ánimo y actitud al personal ",Se mantienen capacitaciones constantes ,"Sí, utilizo sistemas tecnológicos",Un mecanismo tecnológico elaborado por nosotros mismos para el control en base a pronósticos ,Muy satisfecho,Necesitaría más información antes de decidir,"Sí, hasta alrededor de $50 USD (aprox. $1,000 MXN) al mes"
28/3/2025 12:59:14,ATLAS CAFE,Independiente (un solo restaurante),Cafetería/Bar,1-3 años,6-15 empleados,"Gestionar los costos de personal y la rotación de empleados (salarios, retención, capacitación de personal)",1,3,2,1,1,1,Rotaión del personal,"Prestaciones de Ley, incentivos (bonos)","Sí, utilizo sistemas tecnológicos",Zettle,Medianamente satisfecho,No estoy interesado en nuevas tecnologías en este momento,No estaría dispuesto a pagar por software adicional
28/3/2025 14:17:45,El Guero Elotero,Cadena o franquicia (múltiples locales),Comida rápida/servicio rápido,4-10 años,6-15 empleados,"Gestionar los costos de personal y la rotación de empleados (salarios, retención, capacitación de personal), Atraer suficientes clientes y aumentar las ventas en un mercado competitivo, Mantener la consistencia en la calidad de la comida y del servicio",1,2,2,1,1,1,Rotación y retención del personal. Las personas no están aguantando mucho tiempo en el puesto. Pagamos por arriba de los demas negocios de comida e incluso trabajan menos horas. Nos da la sensación que las personas cada vez quieren trabajar menos.,"Hemos mejorado sueldos, damos muchos permisos a las personas, trabajams sobre resultados y no sobre horarios, etc.","Sí, utilizo sistemas tecnológicos","Softrestaurant, RAPPI/UBER, PideDirecto , OlaClick",Medianamente satisfecho,Podría estar interesado si realmente soluciona mis problemas,"Sí, hasta alrededor de $50 USD (aprox. $1,000 MXN) al mes"
30/3/2025 13:56:08,MATA DE CHILE,Independiente (un solo restaurante),Restaurante casual o familiar,4-10 años,1-5 empleados,"Controlar los costos de los alimentos y materias primas (manejar la inflación de precios, costos de ingredientes)",2,3,1,1,1,2,Aumentar Ventas,"Ajuste de menú, Campañas de marketing ","Sí, utilizo sistemas tecnológicos",Parrot Conect,Muy satisfecho,"Muy dispuesto, me interesa adoptar nuevas herramientas","Sí, hasta alrededor de $50 USD (aprox. $1,000 MXN) al mes"
